Jacek;145;99;67;71;54;64;39;84;114;85;77;85;124;77;66;88;75;99;103;90;98;33;51;78;12;96;138
Jacek;127;91;75;55;71;56;40;112;120;97;93;103;106;109;52;109;116;103;110;110;114;130;55;57;91;98;140
Jacek;140;98;98;116;74;50;51;84;111;43;38;89;113;36;66;110;90;94;55;108;105;18;70;84;32;88;150;
Jacek;135;102;79;97;80;47;61;92;93;98;47;92;137;88;21;94;80;88;97;116;101;89;84;48;64;93;165;
test;24;46;43;26;14;51;33;46;46;23;11;13;15;11;19;5;15;13;28;53;24;15;14;12;24;13;37;
test;53;12;12;64;14;67;32;18;43;14;17;47;45;49;22;67;39;16;10;12;40;14;12;17;36;57;126;
